movie_id,year,certificate,runtime,director,star,rating
tt2820852,2015.0,PG-13,137 min,James Wan,"Vin Diesel, 
Paul Walker, 
Dwayne Johnson, 
Jason Statham",7.1
tt0181689,2002.0,PG-13,145 min,Steven Spielberg,"Tom Cruise, 
Colin Farrell, 
Samantha Morton, 
Max von Sydow",7.6
tt6189022,2019.0,R,121 min,Ric Roman Waugh,"Gerard Butler, 
Frederick Schmidt, 
Danny Huston, 
Rocci Boy Williams",6.4
tt1013752,2009.0,PG-13,107 min,Justin Lin,"Vin Diesel, 
Paul Walker, 
Michelle Rodriguez, 
Jordana Brewster",6.5
tt7991608,2021.0,PG-13,118 min,Rawson Marshall Thurber,"Dwayne Johnson, 
Ryan Reynolds, 
Gal Gadot, 
Ritu Arya",6.3
tt6718412,,,,"Adil El Arbi, 
Bilall Fallah","Brendan Fraser, 
Michael Keaton, 
J.K. Simmons, 
Leslie Grace",
tt2463208,2022.0,PG-13,106 min,Shawn Levy,"Ryan Reynolds, 
Walker Scobell, 
Mark Ruffalo, 
Jennifer Garner",6.7
tt0816711,2013.0,PG-13,116 min,Marc Forster,"Brad Pitt, 
Mireille Enos, 
Daniella Kertesz, 
James Badge Dale",7.0
tt9783600,2022.0,R,106 min,Joseph Kosinski,"Chris Hemsworth, 
Miles Teller, 
Jurnee Smollett, 
Mark Paguio",5.4
tt11827628,2022.0,R,114 min,Martin Campbell,"Liam Neeson, 
Guy Pearce, 
Taj Atwal, 
Harold Torres",5.7
tt1104001,2010.0,PG,125 min,Joseph Kosinski,"Jeff Bridges, 
Garrett Hedlund, 
Olivia Wilde, 
Bruce Boxleitner",6.8
tt2140479,2016.0,R,128 min,Gavin O'Connor,"Ben Affleck, 
Anna Kendrick, 
J.K. Simmons, 
Jon Bernthal",7.3
tt4881806,2018.0,PG-13,128 min,J.A. Bayona,"Chris Pratt, 
Bryce Dallas Howard, 
Rafe Spall, 
Justice Smith",6.1
tt0409459,2009.0,R,162 min,Zack Snyder,"Jackie Earle Haley, 
Patrick Wilson, 
Carla Gugino, 
Malin Akerman",7.6
tt3501632,2017.0,PG-13,130 min,Taika Waititi,"Chris Hemsworth, 
Tom Hiddleston, 
Cate Blanchett, 
Mark Ruffalo",7.9
tt0451279,2017.0,PG-13,141 min,Patty Jenkins,"Gal Gadot, 
Chris Pine, 
Robin Wright, 
Lucy Davis",7.4
tt0320661,2005.0,R,144 min,Ridley Scott,"Orlando Bloom, 
Eva Green, 
Liam Neeson, 
Martin Hancock",7.2
tt0942385,2008.0,R,107 min,Ben Stiller,"Ben Stiller, 
Jack Black, 
Robert Downey Jr., 
Jeff Kahn",7.1
tt3799694,2016.0,R,116 min,Shane Black,"Russell Crowe, 
Ryan Gosling, 
Angourie Rice, 
Matt Bomer",7.3
tt0437086,2019.0,PG-13,122 min,Robert Rodriguez,"Rosa Salazar, 
Christoph Waltz, 
Jennifer Connelly, 
Mahershala Ali",7.3
tt1477834,2018.0,PG-13,143 min,James Wan,"Jason Momoa, 
Amber Heard, 
Willem Dafoe, 
Patrick Wilson",6.8
tt12262116,2022.0,PG-13,147 min,Ron Howard,"Viggo Mortensen, 
Colin Farrell, 
Joel Edgerton, 
Tom Bateman",7.8
tt6806448,2019.0,PG-13,137 min,David Leitch,"Dwayne Johnson, 
Jason Statham, 
Idris Elba, 
Vanessa Kirby",6.5
tt0139654,2001.0,R,122 min,Antoine Fuqua,"Denzel Washington, 
Ethan Hawke, 
Scott Glenn, 
Tom Berenger",7.7
tt2975590,2016.0,PG-13,151 min,Zack Snyder,"Ben Affleck, 
Henry Cavill, 
Amy Adams, 
Jesse Eisenberg",6.4
tt5164214,2018.0,PG-13,110 min,Gary Ross,"Sandra Bullock, 
Cate Blanchett, 
Anne Hathaway, 
Mindy Kaling",6.3
tt2250912,2017.0,PG-13,133 min,Jon Watts,"Tom Holland, 
Michael Keaton, 
Robert Downey Jr., 
Marisa Tomei",7.4
tt3896198,2017.0,PG-13,136 min,James Gunn,"Chris Pratt, 
Zoe Saldana, 
Dave Bautista, 
Vin Diesel",7.6
tt2283362,2017.0,PG-13,119 min,Jake Kasdan,"Dwayne Johnson, 
Karen Gillan, 
Kevin Hart, 
Jack Black",6.9
tt2222042,2020.0,PG-13,109 min,Michael Matthews,"Dylan O'Brien, 
Jessica Henwick, 
Michael Rooker, 
Dan Ewing",6.9
tt10696784,2021.0,R,139 min,Jeymes Samuel,"Jonathan Majors, 
Zazie Beetz, 
RJ Cyler, 
Edi Gathegi",6.6
tt1951265,2014.0,PG-13,123 min,Francis Lawrence,"Jennifer Lawrence, 
Josh Hutcherson, 
Liam Hemsworth, 
Woody Harrelson",6.6
tt3371366,2017.0,PG-13,154 min,Michael Bay,"Mark Wahlberg, 
Anthony Hopkins, 
Josh Duhamel, 
Laura Haddock",5.2
tt0369610,2015.0,PG-13,124 min,Colin Trevorrow,"Chris Pratt, 
Bryce Dallas Howard, 
Ty Simpkins, 
Judy Greer",6.9
tt1259528,2018.0,R,140 min,Christian Gudegast,"Gerard Butler, 
Pablo Schreiber, 
O'Shea Jackson Jr., 
50 Cent",7.0
tt4630562,2017.0,PG-13,136 min,F. Gary Gray,"Vin Diesel, 
Jason Statham, 
Dwayne Johnson, 
Michelle Rodriguez",6.6
tt2395427,2015.0,PG-13,141 min,Joss Whedon,"Robert Downey Jr., 
Chris Evans, 
Mark Ruffalo, 
Chris Hemsworth",7.3
tt0800369,2011.0,PG-13,115 min,Kenneth Branagh,"Chris Hemsworth, 
Anthony Hopkins, 
Natalie Portman, 
Tom Hiddleston",7.0
tt0265086,2001.0,R,144 min,Ridley Scott,"Josh Hartnett, 
Ewan McGregor, 
Tom Sizemore, 
Eric Bana",7.7
tt0830515,2008.0,PG-13,106 min,Marc Forster,"Daniel Craig, 
Olga Kurylenko, 
Mathieu Amalric, 
Judi Dench",6.6
tt0120903,2000.0,PG-13,104 min,Bryan Singer,"Patrick Stewart, 
Hugh Jackman, 
Ian McKellen, 
Famke Janssen",7.3
tt1074638,2012.0,PG-13,143 min,Sam Mendes,"Daniel Craig, 
Javier Bardem, 
Naomie Harris, 
Judi Dench",7.8
tt2334879,2013.0,PG-13,131 min,Roland Emmerich,"Channing Tatum, 
Jamie Foxx, 
Maggie Gyllenhaal, 
Jason Clarke",6.3
tt1250777,2010.0,R,117 min,Matthew Vaughn,"Aaron Taylor-Johnson, 
Nicolas Cage, 
Chloë Grace Moretz, 
Garrett M. Brown",7.6
tt0183790,2001.0,PG-13,132 min,Brian Helgeland,"Heath Ledger, 
Mark Addy, 
Rufus Sewell, 
Shannyn Sossamon",6.9
tt0317705,2004.0,PG,115 min,Brad Bird,"Craig T. Nelson, 
Samuel L. Jackson, 
Holly Hunter, 
Jason Lee",8.0
tt8106534,2019.0,R,128 min,Michael Bay,"Ryan Reynolds, 
Mélanie Laurent, 
Manuel Garcia-Rulfo, 
Ben Hardy",6.1
