year,runtime,director,star,rating
2019,72,Adam Marino,Kirby Bliss Blanton,4.1
2016,90,Tristan Price,Natassia Halabi,2.5
2016,81,Steven M. Smith,Mark Wingett,2.5
2016,120,Christopher Compton,Jake I. Garcia,6.2
2011,150,Raj Chakraborty,Jeet,5.9
2017,84,Antony J. Bowman,Dov Davidoff,4.3
2004,92,Anthony Hickox,Eddie Griffin,4.7
2017,98,Xian Feng Zhang,Tiger Hu Chen,5.2
2019,110,Fay Yu,Jingchu Zhang,5.3
2013,98,Eric Spade Rivas,Dorsey Wright,5.8
2015,85,Bruce Harner Jr.,Zipporah Brown,8.5
2013,105,Doug Spearman,Marc Anthony Samuel,5.5
2015,112,Seong-il Cheon,Sol Kyung-gu,6.4
2016,89,Bruno Vaussenat,Petra Silander,2.7
2003,101,Dustin Rikert,Gary Busey,3.5
2001,84,Eric Gibson,Chloe Nicole,3.5
2013,90,Rene Perez,Nadia Lanfranconi,2.3
2013,73,Carey McKenzie,Tony Kgoroge,5.1
2013,101,Donovan Marsh,S'Dumo Mtshali,5.4
2006,93,Art Camacho,Don Wilson,3.5
2006,93,Mark Hammond,Vinnie Jones,5.5
2017,118,R.L. Scott,Amin Joseph,5.2
2006,105,Ari Ryan,Henry Thomas,5.6
2003,83,Ron Pitts,Norm Spencer,5.7
2016,103,Daniel Grove,Reza Sixo Safai,4.7
2018,90,Angelo Lopes,Brendan Guy Murphy,2.7
2011,86,Michael Biehn,Michael Biehn,3.5
2014,90,Oklahoma Ward,Nicole Alonso,4.0
2014,45,Richard Rich,Kate Higgins,5.2
2013,86,James A. Ward,Ella Celina Bowen,7.0
2021,108,Huxley Berg,Karan Soni,8.4
2020,95,Matt Poitras,Darren Ryan,3.9
2021,80,Christopher Forbes,Jezibell Anat,2.4
2016,81,David Palmieri,Molly Dougherty,2.9
2015,130,Maxim Genchev,Veselin Plachkov,3.4
2020,87,Leigh Ormsby,Leigh Ormsby,2.7
2017,94,Brett William Mauser,Dane Berkshire,3.2
2014,96,Giorgio Serafini,Cung Le,4.3
2010,160,Puri Jagannadh,Gopichand,6.0
2001,99,Yves Simoneau,Bill Pullman,5.1
2018,88,Derek Savage,Vivica A. Fox,2.7
2022,98,Jamel Brinson,Marques Buford,2.3
2017,76,Josh Webber,Chris Degner,4.2
2018,80,Aaron Garrett,Justin Rose,3.3
2005,85,Ara Paiaya,Ara Paiaya,6.6
2017,104,Jeff Sinasac,Jeff Sinasac,4.2
2001,94,Tom Kinninmont,Luke Perry,4.0
2009,108,Suparn Varma,Fardeen Khan,5.1
2000,100,Art Camacho,Richard Grieco,3.7
2012,102,Scott Martin,Scott Martin,3.2
2003,182,Masahiro Shinoda,Iain Glen,6.2
2009,149,Meher Ramesh,Prabhas,6.1
2013,64,Ben Sturgulewski,Cody Barnhill,7.1
2019,117,Errol Sack,Erik Aude,3.8
2018,70,Alexander Raye Pimentel,Alexander Raye Pimentel,2.4
2020,89,Benjamin Galland,Amanda Maddox,5.1
2017,84,Mark Noyce,Mark Noyce,6.7
2003,88,Cirio H. Santiago,Rey Malonzo,3.6
2008,117,Dennis Law,Sammo Kam-Bo Hung,5.7
2011,75,Creep Creepersin,David Andreiw,3.7
2014,100,Carl Bessai,Aaron Brooks,5.2
2018,84,Charlie Steeds,David Lenik,3.7
2013,90,Jack Topalian,Jack Topalian,3.7
2019,85,Casey de Fremery,Gary Nohealii,3.5
2020,84,Christopher Krueger,Denise Woelpern,5.2
2017,89,Octavian O.,Eli Jeffree Zen,4.4
2010,90,Enzo G. Castellari,Vik C. Ryan,3.7
2018,120,Luis Ismael,Francisco Menezes,6.5
2001,95,Fred Olen Ray,Treat Williams,3.6
2010,56,Daniel M. Seibert,Kate Archer,5.0
2014,90,Fatmir Doga,Christopher McDonald,6.9
2017,80,Len Kabasinski,Lisa Neeld,4.2
2011,84,Ivan Mitov,Adrian Paul,3.2
2000,96,John Terlesky,Roy Scheider,4.6
2006,138,Stuart Paul,Jon Voight,2.7
2011,110,Ajay Chandhok,Sanjay Dutt,1.8
2013,76,David DeCoteau,Cynthia Rothrock,2.2
2016,117,William Zubricki,Rolf A,7.2
2009,90,John R. Carter,Cuba Gooding Jr.,3.2
2014,90,Bitte Andersson,Peggy Sands,4.6
2005,82,Sarah Nean Bruce,Rhett Giles,1.9
2007,80,Bo Webb,Big Daddy Kane,3.8
2014,82,Jeff Leroy,Isis Velazquez,3.1
2001,103,Terry Cunningham,Jürgen Prochnow,3.6
2011,96,Taylor Chien,Hunter G. Williams,5.7
2022,79,Gordon Scott Venters,Karmel Bortoleti,4.6
2016,109,Charles Band,Cynthia Rothrock,4.2
2001,94,Ed Anders,Michael Madsen,3.6
2019,70,Vincent Soberano,Sarah Chang,6.5
2020,92,Joy Jones,Christina Alexandru,1.5
2000,99,Lorenzo Doumani,Sophia Adella Luke,4.1
2012,85,Stephen Amis,Jim Knobeloch,3.3
2003,96,Joey Curtis,Brihanna Hernandez,2.8
2014,95,Leon Ding,Rick Jay Glen,4.7
2011,82,Jean-Marc Minéo,Jonathan Patrick Foo,4.9
2017,146,Kishore Kumar Pardasani,Pawan Kalyan,5.6
2011,102,Everett Lewis,Leonora Anzaldua,4.5
2017,97,Rob Taylor,David Ogden Stiers,4.1
2018,103,Detlev Buck,Samuel Schneider,5.6
2012,86,Adrian DeLude,Robert Picardo,4.7
2000,90,Rodney Gibbons,Pam Grier,4.9
2011,101,Jonas Quastel,Peter Weller,4.3
2015,98,Eric Bugbee,Joel Moody,7.1
2007,83,Johnny Kalangis,Billy Zane,4.7
2018,64,Charles Steven Durán,Michael Blackson,7.4
2019,120,William Lee,Dawna Lee Heising,5.6
2012,112,Johnny Remo,Randy Wayne,5.3
2004,105,Kimberly Choma,Kimberly Choma,6.4
2010,124,Hae-sung Song,Ju Jin-Mo,5.7
2011,109,Yusry Abd Halim,Stephen Rahman Hughes,3.8
2020,90,Rene Perez,Michael Paré,2.6
2012,109,Gregory McQualter,Toby Barron,3.1
2015,114,Bijan Karim,Moe Golkar,7.1
2018,97,Conrad Faraj,Angela Cole,2.9
2000,85,Rafael Eisenman,Timothy Bottoms,3.2
2018,84,Tom Collins,Peter Coonan,6.0
2004,112,Daniel McCarthy,Daniel Baldwin,5.0
2005,90,Fred Olen Ray,C. Thomas Howell,3.1
2021,96,Blake Fitzpatrick,Victoria De Mare,4.7
2010,108,Andrew Wiest,Solomon Ray,2.3
2006,87,David Chameides,Danielle Burgio,3.1
2014,132,Michael Bennett Weisman,Erik Leblanc,4.7
2010,50,K. Adithya Ashok,Lex Yochim,5.6
2018,100,Marc Price,Adam McNab,5.5
2017,92,Mark Cantu,Jason Lee Boyson,3.7
2022,64,Clay Moffatt,Gianna Frangella,8.3
2011,120,Sean Else,Lianie May,6.4
2009,60,Jerry Hibbert,Jonah Ain,5.4
2020,81,Shuny Bee,Cynthia Aguilar,4.6
2015,79,Hector Echavarria,Hector Echavarria,4.4
2010,105,Nic Auerbach,Leo Gregory,5.2
2020,76,Barry Gaines,Clinton Bailiff,3.0
2014,75,Stephen Folker,Burt Culver,4.0
2014,105,Billy 'Bloody Bill' Pon,Bill Oberst Jr.,5.0
2019,120,Nizam Razak,Nizam Razak,6.9
2006,108,Blake Calhoun,Sheree J. Wilson,3.7
2016,135,Sumon,Pori Moni,5.8
2020,93,Tony Mendoza,Emilio Rivera,8.2
2008,86,Julian M. Kheel,Danny Masterson,5.2
2013,90,Nik Amir Mustapha,Redza Minhat,7.2
2022,104,Andre Sigwalt,Daniel Rocha,9.1
2000,97,Godfrey Ho,Cynthia Rothrock,4.2
2010,86,Ted Fox,Stephan Bonnar,2.9
2014,87,Paul Tanter,Tom Benedict Knight,2.8
2016,81,Damian Chapa,Paz de la Huerta,4.0
2013,92,Adrian Langley,Adam Beach,4.0
2016,86,Abel Berry,Billy Blair,3.8
2013,93,Stephen Stix Josey,Joey Azzi,2.6
2010,109,Warren P. Sonoda,Hector Echavarria,4.1
2008,89,Gary Chason,Sue Rock,6.6
2015,95,Chris W. Freeman,Vinnie Jones,3.9
2005,91,Eric Chambers,Layla Alexander,4.0
2007,112,Mark Jay,Karl Davies,4.0
2016,75,Dash Shaw,Jason Schwartzman,6.1
2002,83,Jason Stutter,Sam Manu,5.9
2019,90,Matt Mitchell,Julian Rhind-Tutt,3.3
2008,100,Richard Jobson,James Anthony Pearson,5.6
2011,133,Chandrakant Singh,Naushaad Abbas,3.8
2016,45,Robert Carnevale,Adam Boender,7.5
2019,50,Nathan Thomas Milliner,John Wells,6.8
2020,89,Hank Braxtan,Antuone Torbert,3.2
2008,105,Shawn Seet,Daniel Amalm,5.8
2012,88,John Stimpson,Katee Sackhoff,4.3
2020,80,Saro Varjabedian,Donald Paul,4.5
2014,120,Marina Kunarova,Kristanna Loken,3.0
2000,86,Vinny Murphy,Stuart Sinclair Blyth,6.2
2007,74,Jorge Olguín,Camille Lynch,2.7
2014,85,Antony Szeto,Josh Thomson,5.2
2019,85,Mike Mayhall,Eric Roberts,4.0
2016,121,Paul Young,Sean Alvarez,6.1
2022,96,Doug Thomsen,Jake Vincent,6.6
2017,88,Dragan Pesikan,Srdjan 'Zika' Todorovic,4.8
2006,87,David Worth,Jason Barry,4.2
2015,90,Dan Rickard,Dan Rickard,3.5
2013,113,Tôya Satô,Tôri Matsuzaka,5.0
2000,94,Fred Olen Ray,Brian Bosworth,3.3
2013,116,Andrew Gilbert,Luke Hobson,3.8
2015,95,Neil Johnson,Alain Terzoli,3.2
2019,100,Erich Kemp,Jeff Weber,4.9
2015,94,Rex Piano,Bernard Curry,3.6
2008,109,Ralph E. Portillo,Maury Chaykin,4.7
2014,110,Fabien Garcia,Fabien Garcia,4.4
2018,83,Pablo Raybould,Rebecca Shepherd,4.5
2015,90,Larry Smith,Amanda Donohoe,6.8
2003,85,Jim Wynorski,Stephen Baldwin,3.8
2020,106,Bong-han Kim,Kwak Do-won,5.4
2010,149,Brad Jones,Sarah Gobble,7.8
2009,107,Damon O'Steen,Gary Weeks,4.0
2017,135,Jack Neo,Pankaj Kumar,5.4
2004,95,Frédéric Auburtin,Gérard Lanvin,3.5
2008,95,Thomas Jahn,Ian Somerhalder,4.2
2009,92,John Murlowski,Meredith Monroe,4.8
2009,65,Mamoru Oshii,Yoshikazu Fujiki,3.7
2007,126,Mustafa Sevki Dogan,Kenan Imirzalioglu,6.9
2016,88,James B. Cox,Andy Allo,5.8
2006,91,Peter Mervis,C. Thomas Howell,2.2
2017,90,Lexie Findarle Trivundza,Danny Brown,5.0
2018,103,Marco Serafini,Luke Allen-Gale,5.4
2002,96,Daniel Knauf,Dean Cain,3.4
2015,107,Derek Scott,Vince Arians,5.6
2017,75,Sam Fountayne,Finn H. Drude,2.7
2011,90,Mark Atkins,Dylan Jones,2.7
2001,94,Kenny Griswold,Todd Field,5.9
2022,62,Andrew Kaggia,Melvin Alusa,8.7
2020,120,Tito da Costa,Sean Gray,3.8
2003,92,Lee Friedlander,Antonio Sabato Jr.,3.1
2012,129,Luis Ismael,Jorge Neto,7.2
2004,93,Julien Seri,Williams Belle,4.6
2016,96,Rodny Paulson,Brendan Fehr,7.8
2006,111,Harry Baweja,Sunny Deol,2.6
2019,142,Carlos Dunn,Tyler Gallant,4.1
2017,93,Robert Thalheim,Henry Hübchen,5.8
2009,143,Parasuram,Ravi Teja,4.9
2005,90,Richard Clabaugh,Scott Thomas,7.9
2021,145,T.C. De Witt,Maximillian Olmsted,4.6
2000,104,Fred Dryer,Fred Dryer,5.4
2006,83,Khairil M. Bahar,Khairil M. Bahar,5.0
2020,90,James Balsamo,James Balsamo,4.8
2021,81,Rene Perez,Alexandra Amarell,3.8
2001,102,Mark Roper,Thomas Ian Griffith,3.2
2001,70,Barak Epstein,Mike Wiebe,4.6
2001,90,Steven Rush,Dan Andersen,3.4
2019,90,Dean Alexandrou,Selina Lo,6.9
2022,85,Justin W. Smith,Jeanne Young,4.5
2001,96,Laurence Malkin,Skeet Ulrich,4.3
2013,90,Miriam Kruishoop,Manny Perez,5.4
2009,90,Pavel Sanaev,Sergey Chirkov,5.7
2019,72,Keith Collins II,B.J. Halsall,4.0
2022,99,Tyler Savino,Joe Chrest,8.3
2020,72,Nabwana I.G.G.,Asiimwe Apollo,8.6
2013,87,Brian Eric Johnson,Meni Aga,6.9
2017,98,Norman Gregory McGuire,Jesse James,5.2
2015,89,Ryan LaPlante,Ryan LaPlante,4.1
2013,114,Michael L. Suan,Tyce Francois,6.3
2014,97,Shigeharu Takahashi,Haruka Tomatsu,5.5
2009,95,Nicolau Breyner,Pedro Lima,4.3
2017,99,April Mullen,Ian McLaren,5.4
2017,104,Roger Russell,Judith Akuta,4.5
2007,94,Ray Garcia De Leon,Bob Dolan,7.4
2008,94,Brian A. Metcalf,Brad Dourif,3.0
2018,91,Justin Lee,Aidan Bristow,2.9
2014,90,Seth Grossman,Ross Patterson,6.7
2018,94,Richard Griffin,Chris Torem,3.6
2002,121,Nikos Nikolaidis,Giannis Angelakas,6.7
2007,93,Dale C. Reeves,Dale C. Reeves,5.9
2011,97,Paris Leonti,Robert Fucilla,3.4
2019,120,Ansh Rathore,Jari Kinnunen,4.0
2022,62,Madison Traub,Abigail Knol,6.6
2016,100,Scott B. Hansen,Gary Cairns,5.4
2013,97,Emmanuel Naccache,Tomer Sisley,5.0
2014,94,Michael Stokes,Glenn Bradley,4.9
2000,95,Terry Cunningham,Antonio Sabato Jr.,4.7
2000,95,Sam Firstenberg,Eric Roberts,3.1
2002,91,Adam Bhala Lough,Mark Webber,6.4
2012,90,Chetan Sharma,Ajith,8.3
2018,81,Joseph C. Grant Jr.,Al Thompson,7.6
2011,91,Tino Struckmann,Jack Dimich,2.2
2006,93,Jason Carvey,Andrew Keegan,4.1
2018,120,Matthew J. Adams,Kathryn Eastwood,2.7
2009,102,Richard Clabaugh,Adrian Paul,4.9
2008,92,Thomas Vincent,Clovis Cornillac,6.1
2016,95,David Lam,Louis Koo,5.2
2017,90,Nicole Jones-Dion,Anna Harr,3.0
2018,78,Alex Magaña,Mr. Capone-E,5.3
2008,105,Patrick Pierre,Sonja Adams,4.4
2017,87,Jesse Gustafson,Cam Gigandet,3.9
2000,124,Paul Pissanos,Andrew Bullock,5.8
2009,99,Michael Stokes,Teri Polo,4.6
2011,104,Stevie Johnson,Paul Campbell,8.0
2001,98,Anthony Hickox,Armand Assante,5.0
2008,97,Steven Dieveney,C. Thomas Howell,4.0
2014,94,Ryan Lightbourn,Ansley Gordon,5.1
2013,111,Wing-Cheong Law,Xing Yu,5.7
2006,88,Dong-Wook Lee,Richard Epcar,6.3
2011,87,Stanley J. Orzel,Will Yun Lee,3.7
2014,120,Milon V. Parker,Aaron Badie,7.8
2016,82,David Palmieri,Molly Dougherty,2.8
2009,103,Silver Kim,Rebecca Yakimowski,6.5
2004,84,William Webb,Stephen Baldwin,2.7
2016,60,Sam Michell,John Antrobus,9.6
2022,60,Thomas Burke,Cherah Belgrave,4.6
2000,92,Richard Friedman,Janet Gunn,3.5
2006,118,Jay Craven,Kris Kristofferson,4.9
2006,89,Thadd Williams,Matt McGorry,7.0
2014,93,Matthew Gratzner,Jeffery Patterson,6.7
2008,91,David Michael O'Neill,Ethan Embry,5.1
2011,75,Shana Betz,Annemette Andersen,5.2
2003,81,Abe Forsythe,Felix Williamson,6.3
2006,97,Axel Sand,Drew Fuller,5.0
2008,91,Timothy Friend,Tiffany Shepis,4.4
2016,108,Craig Ross Jr.,Matthew Marsden,2.9
2016,86,Carl T. Evans,Callum Blue,3.7
2021,70,Detdrich McClure,Jay White,2.6
2015,106,Yû Irie,Kazuya Kamenashi,5.3
2009,80,Michael Reilly,Joe Cabatit,3.9
2000,81,Craig Clyde,Alana Austin,4.8
2018,88,Masoud Atyabi,Hamid Farrokhnezhad,3.4
2017,83,Richard Parry,Carlos Pedro Briceño,4.9
2005,82,Peter Mervis,Brandon Stacy,4.0
2019,79,Johnny K. Wu,Ben Zgorecki,2.2
2015,93,Travis Bain,Shawn Brack,3.7
2009,96,Jimmy Nickerson,Kuno Becker,5.1
2009,94,Thomas Jahn,Kelly Adams,4.9
2006,115,Jasmin Durakovic,Nancy Abdel Sakhi,6.7
2016,88,Ben Burke,Mike Pfaff,5.1
2017,105,Frank E. Johnson,Billy Zane,5.9
2009,92,Kurando Mitsutake,Kurando Mitsutake,4.8
2008,90,Edgar Arellano,Donnabella Mortel,3.2
2011,89,Peng Zhang Li,Lingmeng Hu,5.0
2014,165,Stole Popov,Inti Sraj,7.3
2008,83,Amir Valinia,Michael Ironside,2.3
2011,120,Fred Carpenter,Stephanie Finochio,3.6
2017,85,Jeffrey Reyes,Natasha Hall,4.3
2002,90,Byron W. Thompson,Charlotte Avery,4.1
2018,111,Nick Cheung,Nick Cheung,4.6
2014,102,David Llauger Meiselman,Alan Corral,4.2
2016,50,Peter Hamblin,Moki Aipoalani,7.5
2003,100,Craig Singer,Michael Rapaport,4.6
2011,45,Howard E. Baker,John Schneider,5.6
2013,100,Prince Bagdasarian,Hunter Ives,5.1
2010,93,Jesse Warren,Mark Gantt,5.2
2014,93,Antony Smith,Sol Heras,3.3
2004,108,Jack Ersgard,Matthew Settle,5.4
2016,80,Virendra Kumar Sahu,Stefan Boehm,4.3
2020,105,Frankie Ogar,Eric Roberts,4.8
2011,110,Rajnish Thakur,Nabin Luhagun,3.5
2010,83,Jim Fitzpatrick,Jim Fitzpatrick,5.5
2015,123,Anggy Umbara,Cornelio Sunny,7.2
2021,92,Manny Perez,Manny Perez,4.2
2001,97,Katherine Lindberg,Melora Walters,5.4
2016,106,Rocky Collins,David A. Lockhart,5.0
2008,90,Sidi Cherkawi Benzahra,Natalie Howe,6.6
2021,80,Alan Delabie,Louis Mandylor,5.7
2010,101,Simone Bartesaghi,Jonathon Trent,3.6
2019,92,Ralph Clemente,Brett Rice,6.1
2013,83,Olli Koivula,Solvan Naim,6.7
2002,91,Dusty Nelson,Jeff Fahey,3.5
2007,95,Mark Mahon,Michael Madsen,5.1
2020,80,Jess Norvisgaard,Bill Oberst Jr.,3.6
2013,103,Andrew Wessels,Joey Rasdien,5.2
2013,97,Brian Skiba,Laurie Love,4.9
2020,85,Nadav Schirman,Efrat Boimold,6.5
2004,127,Nick Groff,Scott Brown,4.4
2016,140,Jack Buchanan,Brett Charles,8.2
2017,80,Derek Ting,Derek Ting,3.7
2021,91,Ray Lee Voon Leong,Puteri Adrianna,3.2
2017,90,Allyn Camp,Alyssa Elle Steinacker,7.9
2016,100,Mitesh Kumar Patel,Kacey Clarke,2.6
2008,95,Diana Lee Inosanto,Diana Lee Inosanto,6.5
2000,97,Robert Lee,Brian Bosworth,4.2
2003,88,Claudio Fäh,Kristin Dattilo,4.4
2018,83,Ashley Scott Meyers,Gunner Wright,5.7
2001,100,David Brooks,Johannes Björk,5.6
2004,98,Greg Carter,Derrick 'D-Reck' Dixon,5.3
2000,89,Mike Tristano,Frank Zagarino,4.8
2002,88,Eric Weston,Robert Davi,4.5
2019,97,Khuong Ngoc,Hua Minh Dat,7.0
2007,89,Andrew Prowse,Jonathan LaPaglia,3.3
2004,101,Scott Thomas,Fabian Carrillo,4.3
2018,86,Sean Cain,Matthew Atkinson,3.5
2012,98,Stephen Fung,Hark-On Fung,6.0
2021,95,Juan Salas,Alcides Dias,6.0
2014,81,Brent Triplett,Aerli Austen,7.3
2005,91,Jimmy Nickerson,Marie Matiko,3.5
2012,68,Brian T. Jaynes,Brandon Slagle,4.0
2005,96,Gerry Anderson,Randy Couture,7.1
2007,84,Albert Pyun,María Alché,3.2
2001,102,Cristobal Krusen,John Kani,7.5
2020,76,Gary Lee Vincent,Jeff Moore,5.6
2015,80,Drazen Baric,Jonathan Matthews,3.3
2015,92,Terron R. Parsons,Sherri Eakin,3.0
2021,120,Ka-Wai Kam,Ye Liu,4.7
2003,162,Feroz Khan,Feroz Khan,3.1
2014,96,Olaf de Fleur Johannesson,Darri Ingolfsson,6.2
2016,79,Jack Perez,Corin Nemec,2.9
2000,95,Fred Olen Ray,Coolio,3.2
2018,108,Jah,Dudley Augustine,3.0
2003,97,Pol Cruchten,Jesse Littlejohn,5.4
2012,93,Russ Emanuel,Jeremiah Sayys,3.9
2014,93,Simeon Rice,Rusty Joiner,4.0
2013,81,Robert Conway,Kane Hodder,3.5
2006,45,G.R. Claveria,G.R. Claveria,7.3
2021,100,Reka Wijaya,Deva Mahenra,7.7
2010,105,Carmen Madden,Ahku,5.3
2016,86,Orson Ossman,Orson Ossman,5.3
2001,97,Harris Done,Dean Cain,5.1
2019,90,Drew Thomas,Amarsaikhan Baljinnyam,5.6
2009,87,Dominique Milano,Chuti Tiu,2.4
2018,73,Jan Stoltz,Norman Endres,5.2
2001,96,Johanna Demetrakas,Jennifer Beals,5.1
2012,86,Neil Johnson,Michael Abruscato,2.3
2013,80,J.T. Boone,Marguerite Sundberg,3.7
2019,94,Harald Franklin,Sophie Toropchina,3.8
2008,85,Frank Weston,Martin Sheen,7.4
2014,90,Simon Chan,Jon Lovitz,5.2
2011,108,Haofeng Xu,Chenghui Yu,5.4
2009,102,Rena Riffel,Rena Riffel,4.2
2013,88,Tristan Price,Danny Trejo,2.3
2010,124,Ford Austin,Ford Austin,5.4
2022,126,Gerardo Chierchia,Vixey Teh,3.3
2012,96,Christophe Wagner,Jules Werner,6.8
2004,96,David Kebo,Eric Christian Olsen,5.6
2015,96,David A. Prior,Leilani Sarelle,4.0
2018,81,Tristan Price,Audrey Rode,3.1
2015,105,Carlos Alba,Shane Land,7.6
2013,88,John Rusnak,Peter Hooten,5.8
2010,98,Tom Shell,A.J. Draven,2.9
2020,85,Taffy Edwards,Byron Gibson,3.8
2017,105,David Tittone,David Tittone,5.0
2002,94,Lorena David,Tim Sitarz,4.0
2010,105,Denis Henry Hennelly,Joaquin Pastor,7.1
2012,95,Peter Paul Basler,Jack Plotnick,2.2
2016,81,Chad Ferrin,Robert Miano,4.2
2022,109,Mark Byrne,Christopher Inlow,7.2
2005,101,Benny Chan,Aaron Kwok,5.9
2009,97,Shashanka Ghosh,Rajendra Prasad,5.8
2008,98,Thomas Dixon,Josiah D. Lee,3.2
2016,86,Paul Tanter,Tom Hopper,4.0
2014,90,Rene Perez,Robert Tweten,3.0
2000,91,Neil Mandt,Richard Thomas,3.1
2018,97,David Lam,Louis Koo,5.7
2005,96,James D. Deck,Tara Reid,4.5
2017,87,Rogelio Salinas III,Manuel Garcia,4.7
2001,90,Eric Weston,Michael Madsen,4.6
2018,85,Marie-Grete Heinemann,Peter Dobson,4.9
2012,113,John Grooters,Rebecca St. James,4.4
2014,100,Julian Higgins,Robert Thorne,3.7
2018,129,Liam Bilsky,Batman,8.8
2001,92,Mario Andreacchio,Hugh Dancy,4.6
2016,97,Damien Lay,Chris Klein,4.2
2009,93,Nicholas Harvell,Amanda Aardsma,4.4
2002,91,James Bruce,Patrick Muldoon,4.7
2020,90,Steve Hasse,Michael Adams,7.4
2015,90,Robert Chapin,Robert Chapin,6.3
2006,92,Roy Knyrim,Reggie Bannister,3.5
2000,90,Randall Fontana,Gabrielle Fitzpatrick,4.7
2009,85,Andrew Gernhard,Kevin Shea,3.5
2000,106,Jon Gunn,Eric Roberts,5.2
2001,94,Matt Codd,Antonio Sabato Jr.,3.2
2018,134,Thomas J. Churchill,C. Thomas Howell,4.6
2001,90,Deborah Attoinese,Vanessa Zima,7.0
2021,102,Jovonny Holloway,Jovonny Holloway,6.9
2000,94,Jean Pellerin,Rob Lowe,3.8
2019,83,Kristen Hilkert,Pom Klementieff,3.7
2000,91,Jeff Celentano,William Baldwin,4.8
2015,126,Viva Westi,Adipati Dolken,7.9
2010,74,David Betances,Melina Lizette,3.3
2017,107,Joshua Sheik,Rudon Brannon,8.6
2013,108,Ping Wang,Youliang Zhao,5.6
2011,85,Stefano Milla,Nancy Becker,1.7
2005,93,Ray Ellingsen,Jake Busey,3.6
2014,80,Nicolas Aaron Mezzanatto,Rich McDonald,3.6
2008,154,Nonzee Nimibutr,Jarunee Suksawas,5.6
2001,92,C.W. Cressler,Jeff Fahey,5.5
2022,88,Rona Walter,Charlie Blackwood,7.9
2005,77,Azazel Jacobs,Azazel Jacobs,6.4
2021,72,Travis Mills,Travis Mills,4.1
2009,124,Yong-gyun Kim,Cho Seung-woo,6.2
2010,90,Jeremiah Hundley,Danny Trejo,3.0
2003,120,Takahisa Zeze,Hyde,6.2
2019,73,Sam Garcia Southern,Madwiz,5.3
2013,120,Raimund Huber,Kazu Patrick Tang,3.0
2010,69,Ricardo E. Prado,J.D. Marmion,7.7
2014,99,Dusan Milic,Nikola Rakocevic,5.0
2015,85,Gabriel Carrer,Ry Barrett,3.3
2018,90,Serge Levin,Michael Ironside,4.4
2020,115,Robert L. Butler Jr.,Robert L. Butler Jr.,4.8
2001,97,Daniel Baldwin,Michael Madsen,3.3
2013,107,Joyce Bernal,Robin Padilla,7.0
2008,89,Matthew Hope,Karen Admiraal,3.2
2012,99,Daniel Calparsoro,Alberto Ammann,5.6
2010,120,Hadi Abrar,Sahil Khan,3.5
2001,96,Mitchell Cox,Judge Reinhold,2.9
2008,93,Sean Robinson,Brian Blessed,6.5
2015,134,Gurmeet Ram Rahim Singh,Muntazir Ahmad,7.2
2019,93,Harald Franklin,Jerry Kwarteng,2.7
2018,84,Len Kabasinski,Len Kabasinski,4.9
2020,89,Demetrius Navarro,James Russo,5.8
2001,120,Jin Jang,Hyeon-jun Shin,6.8
2008,96,Mikey Hilb,Eric Lively,4.5
2003,106,Hideyuki Hirayama,Yôsuke Kubozuka,5.1
2006,99,Peter John Ross,Jon Osbeck,2.9
2009,57,Zaigham Ali Syed,Vinod Khanna,5.6
2005,90,Steve Pasvolsky,Sean Kennedy,4.9
2006,96,Daniel Millican,Lou Diamond Phillips,3.9
2010,160,Hari,Suriya,6.9
2012,88,Justin Paul Ritter,Lee Perkins,3.5
2019,75,Alex Chung,Margaryta Soldatova,3.3
2008,86,Adam Deyoe,Felissa Rose,3.9
2011,145,Tony Watt,Vivita,1.7
2010,140,Benjamin Norman Pierce,Benjamin Norman Pierce,9.3
2021,119,Jeff Loehrke,Dylan Stretchbery,7.8
2005,88,Young Man Kang,Kelly Hamilton,5.3
2018,86,James Kondelik,Shellie Sterling,1.8
2016,68,Takashi Imanishi,Shûichi Ikeda,8.0
2022,62,Jordan-Kane Lewis,Leona Clarke,8.9
2005,78,Tim McCann,Michael Rodrick,4.1
2019,113,Darren Ward,Dani Thompson,4.7
2012,161,Sion Sono,Yûya Ishikawa,6.4
2013,92,Arthur Louis Fuller,Michael Beach,4.0
2007,86,Michael Kang,John Cho,6.0
2009,90,Bob Ahmed,Alexander Wraith,3.3
2017,72,Lon Beyer,Silvana Caminiti,4.6
2008,107,Neeraj Pathak,Dino Morea,3.1
2011,85,Enzo Zelocchi,Enzo Zelocchi,5.3
2011,86,Saso Pavlovski,Senko Velinov,5.3
2008,86,Colin Theys,Ashley Bates,3.4
2000,130,Erik Matti,Janno Gibbs,7.5
2019,118,David Kronmiller,Molly Hagan,4.3
2021,120,Yuppie Darkcircles,Andrew Abasi,5.5
2016,90,Deborah Goodwin,Ismael Cruz Cordova,6.2
2010,98,Aram Rappaport,Alexa PenaVega,7.7
2001,87,Craig Corman,Richard Grieco,4.9
2015,89,Bruce Fontaine,Nickolas Baric,4.0
2014,79,Drew Casson,Georgia Bradley,3.8
2016,87,Opie Cooper,Ainsley Bailey,4.5
2016,90,Blayne Weaver,Blayne Weaver,4.6
2017,110,Randy Kent,Blanca Avalos,7.3
2020,77,Chad Bruns,Sable Griedel,7.1
2017,85,Rob Gordon Bralver,Sean Astin,4.3
2018,92,Josh Smith,Tate Smith,5.0
2018,95,Vasni Ramos,Sergio G. Ramos,4.8
