year,runtime,director,star,rating
2017,152,Rian Johnson,Daisy Ridley,6.9
2011,109,Andrew Niccol,Justin Timberlake,6.7
2005,140,George Lucas,Hayden Christensen,7.6
2014,97,Michael Spierig,Ethan Hawke,7.4
2003,121,Len Wiseman,Kate Beckinsale,7.0
2009,109,F. Gary Gray,Gerard Butler,7.4
2006,104,Justin Lin,Lucas Black,6.0
2011,132,Brad Bird,Tom Cruise,7.4
2009,88,Ruben Fleischer,Jesse Eisenberg,7.6
2020,94,Josh Boone,Maisie Williams,5.3
2003,147,Michael Bay,Will Smith,6.6
2010,98,Dean DeBlois,Jay Baruchel,8.1
2022,102,Julius Avery,Sylvester Stallone,5.7
2011,119,Jon Favreau,Daniel Craig,6.0
2018,121,Antoine Fuqua,Denzel Washington,6.7
2010,103,M. Night Shyamalan,Noah Ringer,4.0
2013,126,Bong Joon Ho,Chris Evans,7.1
2022,110,Patrick Hughes,Kevin Hart,5.8
2021,113,Adam Wingard,Alexander Skarsgård,6.3
2018,113,Jon Turteltaub,Jason Statham,5.6
2008,85,Matt Reeves,Mike Vogel,7.0
2018,135,Ron Howard,Alden Ehrenreich,6.9
2006,109,Alfonso Cuarón,Julianne Moore,7.9
2015,148,Sam Mendes,Daniel Craig,6.8
2020,124,Adil El Arbi,Will Smith,6.5
2008,90,Pierre Morel,Liam Neeson,7.8
2020,116,Sam Hargrave,Chris Hemsworth,6.7
2016,115,Scott Derrickson,Benedict Cumberbatch,7.5
2018,119,Roar Uthaug,Alicia Vikander,6.3
2013,130,Shane Black,Robert Downey Jr.,7.1
2013,119,David Twohy,Vin Diesel,6.4
2002,119,Doug Liman,Franka Potente,7.9
2020,125,Gina Prince-Bythewood,Charlize Theron,6.6
2007,100,Juan Carlos Fresnadillo,Jeremy Renner,6.9
2021,138,Chris McKay,Chris Pratt,6.5
2022,105,Angus MacLane,Chris Evans,6.1
2021,100,Patrick Hughes,Ryan Reynolds,6.1
2018,121,Donovan Marsh,Gerard Butler,6.6
2016,144,Bryan Singer,James McAvoy,6.9
2012,106,Barry Sonnenfeld,Will Smith,6.8
2007,139,Sam Raimi,Tobey Maguire,6.3
2017,136,Luc Besson,Dane DeHaan,6.4
2022,87,Justin Lee,Trace Adkins,3.0
2003,109,Jonathan Mostow,Arnold Schwarzenegger,6.3
2011,112,J.J. Abrams,Elle Fanning,7.0
2004,105,Matthew Vaughn,Daniel Craig,7.3
2007,101,Francis Lawrence,Will Smith,7.2
2022,104,Mark Williams,Liam Neeson,4.8
2006,83,Peter Hewitt,Tim Allen,4.3
2018,100,John Francis Daley,Jason Bateman,6.9
2019,118,Luc Besson,Sasha Luss,6.6
2021,99,Potsy Ponciroli,Tim Blake Nelson,7.2
2008,122,Steven Spielberg,Harrison Ford,6.2
2004,146,Tony Scott,Denzel Washington,7.7
2014,136,Anthony Russo,Chris Evans,7.8
2009,128,Guy Ritchie,Robert Downey Jr.,7.6
2005,120,Doug Liman,Brad Pitt,6.5
2005,96,David Cronenberg,Viggo Mortensen,7.4
2021,97,Andy Serkis,Tom Hardy,5.9
2019,129,Jon Watts,Tom Holland,7.4
2006,151,Gore Verbinski,Johnny Depp,7.3
2017,110,Alex Kurtzman,Tom Cruise,5.4
2015,114,Brad Peyton,Dwayne Johnson,6.1
2020,91,Aaron Schneider,Tom Hanks,7.0
2010,107,Adam McKay,Will Ferrell,6.6
2018,122,Stefano Sollima,Benicio Del Toro,7.0
2013,130,Justin Lin,Vin Diesel,7.0
2013,121,Peter Berg,Mark Wahlberg,7.5
2012,136,Marc Webb,Andrew Garfield,6.9
2005,187,Peter Jackson,Naomi Watts,7.2
2018,118,Brad Bird,Craig T. Nelson,7.6
2019,123,Jake Kasdan,Dwayne Johnson,6.7
2014,137,Angelina Jolie,Jack O'Connell,7.2
2002,142,George Lucas,Hayden Christensen,6.6
2014,133,Clint Eastwood,Bradley Cooper,7.3
2018,112,Ruben Fleischer,Tom Hardy,6.6
2016,122,Justin Lin,Chris Pine,7.0
2016,107,Rawson Marshall Thurber,Dwayne Johnson,6.3
2009,112,Neill Blomkamp,Sharlto Copley,7.9
2016,127,Alex Proyas,Brenton Thwaites,5.4
2020,96,Tate Taylor,Jessica Chastain,5.4
2020,95,David Ayer,Bobby Soto,4.8
2006,102,Sylvester Stallone,Sylvester Stallone,7.1
2003,154,Edward Zwick,Tom Cruise,7.8
2007,121,Edgar Wright,Simon Pegg,7.8
2019,99,Adam Robitel,Taylor Russell,6.4
2022,103,Tarik Saleh,Chris Pine,5.8
2019,118,Elizabeth Banks,Kristen Stewart,4.9
2010,111,Robert Schwentke,Bruce Willis,7.0
2016,118,Edward Zwick,Tom Cruise,6.1
2000,123,John Woo,Tom Cruise,6.1
2020,95,William Eubank,Kristen Stewart,5.8
2022,102,Paul Leyden,Jeffrey Donovan,4.5
2019,138,Roland Emmerich,Ed Skrein,6.7
2004,120,Michael Mann,Tom Cruise,7.5
2020,115,Niki Caro,Liu Yifei,5.7
2019,113,Simon Kinberg,James McAvoy,5.7
2017,126,Guy Ritchie,Charlie Hunnam,6.7
2020,90,Craig Zobel,Betty Gilpin,6.5
2011,131,Matthew Vaughn,James McAvoy,7.7
2002,131,Kevin Reynolds,Jim Caviezel,7.7
2002,88,Barry Sonnenfeld,Tommy Lee Jones,6.1
2015,120,Paul Feig,Melissa McCarthy,7.0
2014,100,Phil Lord,Chris Pratt,7.7
2021,107,Don Hall,Kelly Marie Tran,7.3
2008,112,Louis Leterrier,Edward Norton,6.6
