movie_id,year,certificate,runtime,director,star,rating
tt5823428,2017,,,Johnny Fontane,"Joe Estevez, 
Tony DeGuide, 
Mikul Robins, 
Vida Ghaffari",
tt14680924,2022.0,,85 min,"Carlos ""Los2k6"" Smith II","Carlos ""Los2k6"" Smith II, 
Michael Carter, 
Tiffany M Jordan, 
Solo Minati",
tt7497950,2018.0,,,Amy Adams,"Raymelle A. Adams, 
Daniel Hutchinson, 
Ryan D. Martin, 
Joey Zsa Zsa",6.6
tt5765296,2019.0,,93 min,Arturo Portillo,"Frank Powers, 
J.D. Marmion, 
Jorge Estrada, 
Hector Dez",5.8
tt3511344,2014.0,,81 min,Bob Bragg,"Cheryl Burns, 
David 'Shark' Fralick, 
Tamie Sheffield, 
Ashley Walker",3.7
tt2358919,2012.0,,,Nabwana I.G.G.,"Nalwanga Gloria, 
Alan Hofmanis, 
Sserunya Ernest, 
Bisaso Dauda",8.6
tt2238140,2011.0,,73 min,Ivan Malekin,"Tom Vogel, 
Stevie Hall, 
Heath Novkovic, 
Suzy Markovski",5.0
tt1339150,2008.0,,108 min,Michael D. D'Andrea,"Richard Buonagurio, 
Brian Cade, 
Lili Mirojnick, 
Christian Thom",8.0
tt1616128,2009.0,Unrated,74 min,Jon Mancinetti,"Steve Abang, 
Jason Botsford, 
Mark Cray, 
Evan Cress",6.6
tt1828336,2009.0,,,Thomas Elliott,"Donovan Sullivan, 
Stefen Hayes, 
Denise DeSanctis, 
Mark Alastair",7.5
tt1737639,2010.0,R,55 min,Ansel Faraj,"Vivian Brasch, 
Linden Chiles, 
Arsha Darbinyan, 
Ansel Faraj",
tt3468566,2015.0,,,Liam Drury,"Ged Purvis, 
Dennis Hewitt, 
Faye Ormston, 
Rod Glenn",7.7
tt7779524,2018.0,Not Rated,85 min,Jason Xiang,"Tengyuan Liu, 
Steven Dasz, 
Ka-Yan Leung, 
Zhou Nian",5.1
tt1803745,2012.0,Not Rated,80 min,Will Martin,"Kelvin Girdy, 
Will Martin, 
Gabe Shebesta, 
Victoria Lydia Rodriguez",7.9
tt2076779,2010.0,,98 min,Tom Breedlove,"Trey Alley, 
Julianne Bianchi, 
Tom Breedlove, 
Kurston Carter",3.6
tt0337609,2006.0,R,95 min,Brian Lawrence,"Derek Denham, 
Mark Brock, 
Candace Posluszny, 
Deirdre Tracey",5.4
tt14348330,2021.0,,,"J. Christian Ingvordsen, 
John Weiner","Bob Gosse, 
J. Christian Ingvordsen, 
Baird Jones, 
Danny Kuchuck",
